Commodity,Number of trades,Traded items,Value of trades,https://www.adam4eve.eu/tradeVol_type.php
PLEX,3.154,1.022.473,4.244.558.163.062,
Large Skill Injector,1.603,3.071,2.299.104.812.712,
Skill Extractor,703,2.155,938.998.283.754,
Warclone Blanks,74,36.381,430.699.736.001,
Sleeper Drone AI Nexus,427,78.095,340.916.830.076,
10M Bounty SCC Encrypted Bond,98,3.71,296.737.788.812,
Triglavian Survey Database,3.334,3.179.968,220.781.669.504,
Ancient Coordinates Database,502,122.248,162.891.327.457,
Orca,59,59,119.036.290.941,
23rd Tier Overseer's Personal Effects,280,2.063,115.640.972.294,
Vargur,80,84,114.189.924.242,
Sleeper Data Library,704,255.501,112.827.966.581,
Marshal,12,12,110.442.308.259,
Isogen,3.32,317.678.291,109.503.360.122,
Golem,64,65,105.428.067.432,
Sotiyo Blueprint,1,1,99.999.997.952,
Paladin,70,73,94.793.995.277,
Small Skill Injector,461,606,89.282.178.897,
Rhea,9,9,87.664.835.631,
Gotan's Modified Stasis Webifier,1,1,87.499.997.184,
Nomad,8,8,79.489.899.604,
Charon,31,31,76.819.951.744,
Kronos Malagrin Marshlight SKIN,13,18,76.539.298.931,
Pithum A-Type Multispectrum Shield Hardener,65,72,70.604.480.894,
Mysterious GalNet Crate,7,13,70.195.746.496,
Gila,203,218,70.108.049.668,
Keepstar Upwell Quantum Core,2,2,70.000.002.379,
Kronos,54,56,69.826.213.193,
Obelisk,26,26,67.982.644.408,
Vargur GalNet StreamCast Unit SKIN,23,36,67.663.530.957,
Morphite,1.142,2.060.265,66.768.218.724,
Rogue Drone Infestation Data,526,928.485,65.167.904.903,
Standup XL-Set Ship Manufacturing Efficiency I,1,1,64.313.331.712,
Minmatar Titan,10,10,63.098.437.536,
Fortizar,6,6,62.073.067.584,
Standup XL-Set Equipment and Consumable Manufacturing Efficiency I,1,1,61.989.998.592,
Standup XL-Set Structure and Component Manufacturing Efficiency I,1,1,61.989.998.592,
Caldari Titan,10,10,61.852.040.835,
Pithum C-Type Multispectrum Shield Hardener,219,248,58.272.223.451,
Ark,5,5,55.839.056.441,
Anshar,4,4,52.651.125.040,
Nestor,43,45,51.919.964.154,
19th Tier Overseer's Personal Effects,277,2.131,50.202.461.713,
Chelm's Modified Multispectrum Energized Membrane,1,1,50.000.001.024,
Rattlesnake,44,44,49.315.924.916,
Intact Armor Plates,448,11.301,48.997.984.093,
ORE Strip Miner,118,316,48.112.183.515,
Neural Network Analyzer,718,274.598,47.787.005.198,
Sotiyo,3,3,47.117.600.440,
Lancer Dreadnoughts,15,16,45.891.700.427,
Providence,17,17,45.467.219.855,
