Commodity,Number of trades,Traded items,Value of trades,Lst,as per ESI; complete New Eden; last update: 24.11.2023,,,,,https://www.adam4eve.eu/tradeVol_type.php
PLEX,2.974,1.078.606,4.415.528.028.140,,,,,,,
Large Skill Injector,1.831,3.578,2.303.656.757.927,,,,,,,
Skill Extractor,1.079,4.675,940.564.505.650,,,,,,,
Warclone Blanks,1.856,793.237,433.549.202.296,,,,,,,
Sleeper Drone AI Nexus,428,78.468,354.693.831.976,,,,,,,
10M Bounty SCC Encrypted Bond,104,4.231,313.661.292.953,,,,,,,
Triglavian Survey Database,4.037,3.096.913,226.502.797.846,,,,,,,
Ancient Coordinates Database,521,122.593,169.390.780.142,,,,,,,
Marshal,15,15,135.301.599.350,,,,,,,
23rd Tier Overseer's Personal Effects,252,1.565,118.125.350.283,,,,,,,
Isogen,3.321,328.589.631,117.732.266.786,,,,,,,
Sleeper Data Library,718,254.015,117.338.572.855,,,,,,,
Vargur,79,83,116.881.527.018,,,,,,,
Paladin,82,86,111.611.636.689,,,,,,,
Orca,68,68,106.794.718.662,,,,,,,
Rhea,11,11,103.805.008.703,,,,,,,
Small Skill Injector,530,688,100.021.374.432,,,,,,,
Men's 'Field Marshal' Coat,1,1,99.999.997.952,,,,,,,
Golem,68,69,86.160.883.922,,,,,,,
Tatara Blueprint,2,2,80.000.000.000,,,,,,,
Draclira's Modified Multispectrum Energized Membrane,1,1,79.959.998.464,,,,,,,
Pithum A-Type Multispectrum Shield Hardener,71,80,78.541.429.869,,,,,,,
Kronos Malagrin Marshlight SKIN,68,105,77.717.482.864,,,,,,,
Gila,265,288,73.025.433.536,,,,,,,
Kronos,53,54,72.885.382.132,,,,,,,
Morphite,1.09,1.944.378,71.734.872.128,,,,,,,
Mysterious GalNet Crate,11,16,70.460.756.496,,,,,,,
Vargur GalNet StreamCast Unit SKIN,24,30,68.049.195.881,,,,,,,
Pithum C-Type Multispectrum Shield Hardener,234,271,65.569.327.502,,,,,,,
Rattlesnake,60,61,65.424.736.173,,,,,,,
Standup XL-Set Structure and Component Manufacturing Efficiency I,1,1,64.969.998.336,,,,,,,
Standup XL-Set Ship Manufacturing Efficiency I,1,1,64.969.998.336,,,,,,,
Charon,29,29,64.536.386.514,,,,,,,
Prometheus' Fortizar,1,1,64.480.002.048,,,,,,,
Rogue Drone Infestation Data,431,731.358,64.348.294.472,,,,,,,
Anshar,7,7,64.236.573.602,,,,,,,
ORE Strip Miner,144,376,62.307.974.075,,,,,,,
Amarr Titan,9,9,59.273.151.654,,,,,,,
Rorqual,12,12,57.304.018.701,,,,,,,
Draccous' Fortizar,1,1,55.900.000.256,,,,,,,
Ark,6,6,55.253.265.340,,,,,,,
Fortizar,5,5,53.399.236.806,,,,,,,
Nestor,44,45,53.102.208.074,,,,,,,
19th Tier Overseer's Personal Effects,242,1.521,53.067.315.815,,,,,,,
Ishtar,313,399,52.951.001.640,,,,,,,
Obelisk,25,25,51.031.253.930,,,,,,,
Intact Armor Plates,441,10.669,50.189.097.574,,,,,,,
Neural Network Analyzer,751,274.764,49.649.593.808,,,,,,,
Khizriel,47,48,49.642.612.960,,,,,,,
Zydrine,2.058,30.367.083,49.054.518.335,,,,,,,
Praxis,278,316,48.960.615.294,,,,,,,
Gist X-Type X-Large Shield Booster,38,38,48.930.790.224,,,,,,,
Mexallon,4.141,1.076.411.512,48.152.236.060,,,,,,,
Leshak,77,84,47.341.949.973,,,,,,,
Pith X-Type X-Large Shield Booster,86,94,46.319.674.430,,,,,,,
Megacyte,1.961,14.781.022,44.696.691.134,,,,,,,
Minmatar Titan,7,8,44.581.632.624,,,,,,,
Fortizar Upwell Quantum Core,11,17,44.543.481.972,,,,,,,
Genolution 'Auroral' AU-79,17,17,42.707.386.034,,,,,,,
Chimera,13,13,42.360.429.945,,,,,,,
Sotiyo Upwell Quantum Core,4,4,41.880.000.061,,,,,,,
Gallente Titan,6,6,40.743.288.865,,,,,,,
Draclira's Modified Power Diagnostic System,4,4,40.580.001.792,,,,,,,
Nomad,4,4,40.485.000.192,,,,,,,
Barghest,33,37,40.384.882.830,,,,,,,
Hulk,162,208,39.966.032.360,,,,,,,
Athanor Upwell Quantum Core,36,61,39.671.039.542,,,,,,,
Archon,11,11,39.396.996.532,,,,,,,
Expert Cerebral Accelerator,19,20,39.261.937.179,,,,,,,
Gotan's Modified Heavy Warp Scrambler,1,1,38.799.998.976,,,,,,,
Lancer Dreadnoughts,15,16,38.788.666.567,,,,,,,
Nocxium,2.303,62.013.461,38.522.318.745,,,,,,,
Providence,20,20,38.027.590.908,,,,,,,
Corpum A-Type Multispectrum Energized Membrane,41,47,36.793.381.774,,,,,,,
Mackinaw,130,166,36.154.792.583,,,,,,,
Bowhead,17,17,35.957.108.926,,,,,,,
Thunderchild,27,30,35.888.036.985,,,,,,,
Caldari Navy Ballistic Control System,237,453,35.450.777.765,,,,,,,
Thanatos,13,13,35.401.023.173,,,,,,,
Machariel,47,49,34.952.568.234,,,,,,,
21st Tier Overseer's Personal Effects,178,655,34.877.197.825,,,,,,,
Minokawa,8,8,34.338.957.419,,,,,,,
Phoenix,8,8,33.826.371.829,,,,,,,
Mysterious GalNet Crate II,100,155,32.624.490.361,,,,,,,
Retribution Malagrin Marshlight SKIN,21,26,32.518.712.984,,,,,,,
Loki,152,185,31.898.800.498,,,,,,,
Azbel Upwell Quantum Core,9,11,31.875.000.000,,,,,,,
Corpus X-Type Large Armor Repairer,53,57,31.837.338.221,,,,,,,
Logic Circuit,1.095,69.019,31.731.495.303,,,,,,,
Tengu,160,175,31.613.635.027,,,,,,,
Helium Isotopes,568,106.656.630,31.553.906.302,,,,,,,
Vindicator,26,26,31.467.678.657,,,,,,,
Pyerite,4.698,4.619.191.353,30.886.669.090,,,,,,,
Daily Alpha Injector,296,765,30.742.509.642,,,,,,,
Golem Malagrin Marshlight SKIN,46,57,30.034.675.443,,,,,,,
Keepstar Upwell Quantum Core,1,1,30.000.001.024,,,,,,,
Caldari Titan,4,4,30.000.000.000,,,,,,,
Azbel,7,7,29.440.535.526,,,,,,,
Athanor,27,29,28.984.192.847,,,,,,,
Nidhoggur,7,7,28.856.961.012,,,,,,,
Minmatar Victory SKIN,4,4,28.719.141.888,,,,,,,
Astero,242,265,28.376.300.108,,,,,,,
Revelation Navy Issue Sanguinary Savant SKIN,15,15,28.164.085.850,,,,,,,
Coreli A-Type Multispectrum Coating,172,211,28.028.767.132,,,,,,,
Multiple Pilot Training Certificate,11,14,28.014.390.303,,,,,,,
Nightmare,32,32,27.762.901.366,,,,,,,
Fenrir,17,17,27.609.021.462,,,,,,,
High-grade Amulet Omega,29,30,27.592.375.625,,,,,,,
Hakim's Modified Heavy Warp Scrambler,2,2,27.409.999.872,,,,,,,
Medium Core Defense Field Extender II,768,1.806,27.098.604.445,,,,,,,
Neodymium,98,755.882,26.852.284.786,,,,,,,
Naglfar Fleet Issue,5,5,26.847.000.424,,,,,,,
Nitrogen Isotopes,428,90.872.470,26.730.058.077,,,,,,,
Tritanium,5.684,9.082.059.218,26.714.339.963,,,,,,,
Covert Research Tools,395,58.545,26.604.095.305,,,,,,,
Imperial Navy Large EMP Smartbomb,146,236,26.603.045.739,,,,,,,
Phoenix Navy Issue,6,6,26.558.517.224,,,,,,,
Widow,26,27,26.547.804.625,,,,,,,
EDENCOM Battleship,28,39,26.429.399.232,,,,,,,
Moros Navy Issue,4,4,26.292.499.968,,,,,,,
Oxygen Isotopes,413,70.685.451,26.039.224.895,,,,,,,
Standup XL-Set Laboratory Optimization I,1,1,25.969.999.872,,,,,,,
Republic Fleet Large Cap Battery,734,1.202,25.767.159.278,,,,,,,
Robotics,516,425.111,25.619.832.354,,,,,,,
Ikitursa All-Stars Casino Clash SKIN,1,1,25.609.999.360,,,,,,,
Enhanced Ward Console,438,9.649,25.103.737.166,,,,,,,
Vorton Arc Extension,31,41,24.886.973.752,,,,,,,
Nanite Repair Paste,4.662,1.301.907,24.886.779.579,,,,,,,
Dysprosium,121,1.034.038,24.611.430.869,,,,,,,
Revelation,9,9,24.545.010.720,,,,,,,
CONCORD Rogue Analysis Beacon,67,220,24.279.201.746,,,,,,,
Serpentis Victory SKIN,1,1,24.220.000.256,,,,,,,
Ansiblex Jump Gate Blueprint,2,2,24.000.000.000,,,,,,,
Astronautic Engineering,1,1,23.939.999.744,,,,,,,
Athanor Blueprint,4,4,23.833.334.441,,,,,,,
Bhaalgorn,22,22,23.723.194.801,,,,,,,
Redeemer,35,37,23.617.732.956,,,,,,,
Draclira's Modified Large EMP Smartbomb,1,1,23.499.999.232,,,,,,,
Ikitursa,46,48,23.395.460.642,,,,,,,
Platinum,143,3.769.511,23.276.206.681,,,,,,,
Mamba,24,25,23.254.700.000,,,,,,,
Chelm's Modified Large EMP Smartbomb,1,1,23.000.000.512,,,,,,,
Women's 'Quafe' T-shirt YC 113,2,2,22.979.999.744,,,,,,,
Zero-Point Condensate,1.276,619.866,22.853.183.015,,,,,,,
Pith X-Type Large Shield Booster,102,108,22.708.088.638,,,,,,,
Tatara Upwell Quantum Core,6,7,22.672.980.595,,,,,,,
Promethium,98,890.953,22.621.112.780,,,,,,,
Stratios,70,72,22.543.865.036,,,,,,,
Pithum A-Type Medium Shield Booster,60,67,22.410.208.436,,,,,,,
Panther,20,20,22.404.612.080,,,,,,,
Raysere's Modified Large EMP Smartbomb,3,3,22.398.833.408,,,,,,,
Astrahus,19,20,22.386.498.785,,,,,,,
Zirnitra,4,4,22.098.999.808,,,,,,,
Michi's Excavation Augmentor,8,8,21.986.593.603,,,,,,,
Neurovisual Input Matrix,168,173.402,21.783.471.001,,,,,,,
Capital Industrial Ships,20,21,21.739.483.776,,,,,,,
High-grade Crystal Omega,27,28,21.540.422.907,,,,,,,
Apostle,5,5,21.408.000.256,,,,,,,
Large Trimark Armor Pump II,84,161,21.323.753.518,,,,,,,
Gecko,116,185,21.307.078.107,,,,,,,
Vorton Power Amplification,32,44,21.217.287.352,,,,,,,
Raitaru Upwell Quantum Core,24,33,21.072.242.820,,,,,,,
Large Vorton Projector II,24,30,21.063.848.265,,,,,,,
Enforcer CONCORD Aerospace 'Prototype' SKIN,1,1,20.989.999.104,,,,,,,
Imperial Navy Heat Sink,153,288,20.758.262.737,,,,,,,
Compressed Glossy Scordite,3,3.279,20.602.477.607,,,,,,,
Vepas' Modified Multispectrum Shield Hardener,1,1,20.519.999.488,,,,,,,
Helium Fuel Block,242,1.309.109,20.324.649.097,,,,,,,
Pithum B-Type Multispectrum Shield Hardener,33,34,20.119.915.724,,,,,,,
Nyx Blueprint,1,1,20.000.000.000,,,,,,,
Hydrogen Isotopes,384,68.722.893,19.978.337.550,,,,,,,
Khizriel Arkombine Arisen SKIN,38,38,19.911.287.288,,,,,,,
High-grade Nirvana Omega,20,21,19.857.905.732,,,,,,,
Large Disintegrator Specialization,51,52,19.836.890.683,,,,,,,
Capital Ships,38,41,19.276.915.913,,,,,,,
Master-at-Arms Cerebral Accelerator,201,509,19.268.105.679,,,,,,,
Rorqual Blueprint,5,6,19.134.440.177,,,,,,,
Drekavac,86,96,19.112.823.868,,,,,,,
Covetor Blueprint,4,7,19.011.190.454,,,,,,,
Hel Blueprint,1,1,19.000.000.512,,,,,,,
Republic Fleet Gyrostabilizer,133,260,18.924.520.702,,,,,,,
Federation Navy Stasis Webifier,274,420,18.880.533.528,,,,,,,
Chromium,140,3.035.850,18.874.772.617,,,,,,,
Naglfar,6,6,18.708.591.818,,,,,,,
Neurolink Protection Cell,13,15,18.657.555.441,,,,,,,
Retriever Blueprint,7,9,18.510.047.217,,,,,,,
Enhanced Neurolink Protection Cell,1,1,18.499.999.744,,,,,,,
Aeon Blueprint,1,1,18.499.999.744,,,,,,,
ORE Ice Harvester,52,121,18.286.784.083,,,,,,,
Raven,60,63,18.193.681.668,,,,,,,
Republic Fleet Large Shield Extender,335,845,18.165.853.311,,,,,,,
Mizuro's Modified Dual 425mm AutoCannon,1,1,17.974.000.128,,,,,,,
Procurer Blueprint,8,10,17.860.743.215,,,,,,,
Self-Harmonizing Power Core,140,9.008,17.807.247.744,,,,,,,
Unit W-634's Modified Drone Damage Amplifier,1,1,17.494.999.552,,,,,,,
Standup L-Set Reactor Efficiency II,1,1,17.363.399.885,,,,,,,
Tobias' Modified Heavy Warp Disruptor,1,1,17.260.000.256,,,,,,,
Megathron,54,58,17.103.708.049,,,,,,,
Centum A-Type Multispectrum Energized Membrane,22,24,17.085.272.251,,,,,,,
18th Tier Overseer's Personal Effects,225,747,16.973.827.600,,,,,,,
Estamel's Modified Rapid Heavy Missile Launcher,1,1,16.970.000.384,,,,,,,
Unit W-634's Modified Sensor Booster,2,2,16.887.374.784,,,,,,,
Nitrogen Fuel Block,228,1.104.446,16.511.776.422,,,,,,,
Extended 'Radiance' Cerebral Accelerator,451,751,16.459.473.508,,,,,,,
Imperial Navy Drone Damage Amplifier,85,135,16.429.292.587,,,,,,,
Estamel's Modified Ballistic Control System,1,1,16.393.333.077,,,,,,,
CV-Composite Molecular Condenser,225,8.468,16.333.773.966,,,,,,,
